"message","ts","data"
"gum_track_added",1642259113425,"{""trackData"":{""id"":""631c6a4e-3645-4921-b359-d986fe64c109"",""kind"":""audio"",""label"":""MacBook Pro Microphone (Built-in)"",""readyState"":""live""}}"
"gum_track_added",1642259113428,"{""trackData"":{""id"":""f7168c8f-ecd7-4579-8d56-921ed108ab5a"",""kind"":""video"",""label"":""FaceTime HD Camera"",""readyState"":""live""}}"
"gum_track_added",1642259117301,"{""trackData"":{""id"":""f1affc66-dba2-4b9f-90d0-eded4ffa9ffc"",""kind"":""audio"",""label"":""MacBook Pro Microphone (Built-in)"",""readyState"":""live""}}"
"local_track_added",1642259117513,"{""trackData"":{""id"":""631c6a4e-3645-4921-b359-d986fe64c109"",""kind"":""audio"",""label"":""MacBook Pro Microphone (Built-in)"",""readyState"":""live""}}"
"local_track_added",1642259117514,"{""trackData"":{""id"":""bf0d2c4f-8a4d-4914-8a76-a2cf6ea63a55"",""kind"":""video"",""label"":""kj5BSfh72MWNnUa8ZuMHqd8XR0PBP5vN/V/TqFP1ootFEYVt/FADEOVr4oHyAKSE8rcSar5Wpo6u4bOMVyQCfQ=="",""readyState"":""live""}}"
"remote_track_added",1642259117525,"{""trackData"":{""id"":""63280731-93bb-45b2-8542-0578297d4db4"",""kind"":""audio"",""label"":""63280731-93bb-45b2-8542-0578297d4db4"",""readyState"":""live""}}"
"remote_track_added",1642259117527,"{""trackData"":{""id"":""94116550-fa24-4ce1-bad4-d5f3dcb5e729"",""kind"":""video"",""label"":""94116550-fa24-4ce1-bad4-d5f3dcb5e729"",""readyState"":""live""}}"
"remote_track_added",1642259117530,"{""trackData"":{""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""readyState"":""live""}}"
"remote_track_added",1642259117535,"{""trackData"":{""id"":""D5D61982-1872-4226-BD5C-7C650B42DDA4-1"",""kind"":""video"",""label"":""D5D61982-1872-4226-BD5C-7C650B42DDA4-1"",""readyState"":""live""}}"
"remote_track_unmute",1642259117536,"{""id"":""63280731-93bb-45b2-8542-0578297d4db4"",""kind"":""audio"",""label"":""63280731-93bb-45b2-8542-0578297d4db4"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_unmute",1642259117538,"{""id"":""94116550-fa24-4ce1-bad4-d5f3dcb5e729"",""kind"":""video"",""label"":""94116550-fa24-4ce1-bad4-d5f3dcb5e729"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_unmute",1642259117543,"{""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_unmute",1642259117547,"{""id"":""D5D61982-1872-4226-BD5C-7C650B42DDA4-1"",""kind"":""video"",""label"":""D5D61982-1872-4226-BD5C-7C650B42DDA4-1"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"local_audio_level",1642259118509,"{""audioLevel"":0.0076143681142613,""totalAudioEnergy"":0.00017371573900892956}"
"remote_audio_level",1642259118518,"{""audioLevel"":0.00039810717055349735,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259118701,"{""audioLevel"":0.00044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259119509,"{""audioLevel"":0.017792291024506364,""totalAudioEnergy"":0.0008218030881745591}"
"remote_audio_level",1642259119541,"{""audioLevel"":0.00039810717055349735,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259119708,"{""audioLevel"":0.00044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259120519,"{""audioLevel"":0.00031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259120520,"{""audioLevel"":0.1808893093661306,""totalAudioEnergy"":0.060189043878568854}"
"remote_audio_level",1642259120699,"{""audioLevel"":0.00039810717055349735,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_track_mute",1642259120843,"{""id"":""94116550-fa24-4ce1-bad4-d5f3dcb5e729"",""kind"":""video"",""label"":""94116550-fa24-4ce1-bad4-d5f3dcb5e729"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":true}"
"local_audio_level",1642259121509,"{""audioLevel"":0.0013550218207342753,""totalAudioEnergy"":0.06019138440711161}"
"remote_audio_level",1642259121518,"{""audioLevel"":0.00039810717055349735,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259121700,"{""audioLevel"":0.00039810717055349735,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259122509,"{""audioLevel"":0.001043733024079104,""totalAudioEnergy"":0.060192489675070224}"
"remote_audio_level",1642259122519,"{""audioLevel"":0.0003548133892335753,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
